time_delta;date;x;y;z;Température Top;Température BOTTOM;Température NOZZLE 1;Température NOZZLE 2;Vitesse Extrudeur;Pression;Force;Température Marbre;Température Cellule;Vitesse TCP;Override Robot;Ouverture porte;Humidité Cellule
0 days 00:00:00;2025-08-26 15:07:31.322526;1109.560791015625;19.7769832611084;2036.5321044921875;203.0;301.0;299.0;304.0;0.0;25.0;34.0;18.0;22.0;0.0;100.0;1.0;61.0
0 days 00:00:00.040274;2025-08-26 15:07:31.362800;1109.1094970703125;18.488584518432617;2037.2164306640625;203.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.0;100.0;1.0;61.0
0 days 00:00:00.080593;2025-08-26 15:07:31.403119;1177.4228515625;23.69820785522461;1610.8206787109375;203.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.0;100.0;1.0;61.0
0 days 00:00:00.120913;2025-08-26 15:07:31.443439;1177.786376953125;23.66969871520996;1610.34423828125;203.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.0;100.0;1.0;61.0
0 days 00:00:00.161231;2025-08-26 15:07:31.483757;1179.532958984375;23.567270278930664;1608.847900390625;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.1878475993871688;100.0;1.0;61.0
0 days 00:00:00.201551;2025-08-26 15:07:31.524077;1184.215576171875;23.35581970214844;1606.0302734375;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.1878475993871688;100.0;1.0;61.0
0 days 00:00:00.241870;2025-08-26 15:07:31.564396;1191.5335693359375;23.043874740600582;1601.9495849609375;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.25;100.0;1.0;61.0
0 days 00:00:00.282190;2025-08-26 15:07:31.604716;1199.8909912109375;22.67204093933105;1596.6114501953125;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.25;100.0;1.0;61.0
0 days 00:00:00.322508;2025-08-26 15:07:31.645034;1208.3436279296875;22.275671005249023;1591.081298828125;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.25;100.0;1.0;61.0
0 days 00:00:00.362836;2025-08-26 15:07:31.685362;1216.7445068359375;21.859086990356445;1585.5220947265625;203.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.25;100.0;1.0;61.0
0 days 00:00:00.403150;2025-08-26 15:07:31.725676;1225.1378173828125;21.427764892578125;1579.8258056640625;203.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.25;100.0;1.0;61.0
0 days 00:00:00.443468;2025-08-26 15:07:31.765994;1233.484130859375;20.995744705200195;1574.066650390625;203.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.483807;2025-08-26 15:07:31.806333;1241.767578125;20.57599258422852;1568.32080078125;203.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.524107;2025-08-26 15:07:31.846633;1250.0250244140625;20.13847541809082;1562.5091552734375;203.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.564424;2025-08-26 15:07:31.886950;1258.2457275390625;19.681114196777344;1556.5968017578125;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.604746;2025-08-26 15:07:31.927272;1266.416015625;19.21291160583496;1550.6700439453125;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.645068;2025-08-26 15:07:31.967594;1274.5399169921875;18.74578285217285;1544.705810546875;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.685383;2025-08-26 15:07:32.007909;1282.6334228515625;18.274248123168945;1538.6595458984375;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.725712;2025-08-26 15:07:32.048238;1290.6824951171875;17.807714462280273;1532.5579833984375;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.766022;2025-08-26 15:07:32.088548;1298.69140625;17.346275329589844;1526.4072265625;202.0;301.0;299.0;303.0;2.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.806340;2025-08-26 15:07:32.128866;1306.6671142578125;16.848268508911133;1520.2017822265625;202.0;301.0;299.0;303.0;2.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.846662;2025-08-26 15:07:32.169188;1314.6014404296875;16.352767944335938;1513.9256591796875;202.0;301.0;299.0;303.0;2.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.886980;2025-08-26 15:07:32.209506;1322.46875;15.864724159240724;1507.628662109375;202.0;301.0;299.0;304.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.927302;2025-08-26 15:07:32.249828;1330.302001953125;15.366304397583008;1501.2720947265625;202.0;301.0;299.0;304.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:00.967618;2025-08-26 15:07:32.290144;1338.0966796875;14.873706817626951;1494.8265380859375;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:01.007938;2025-08-26 15:07:32.330464;1345.84326171875;14.360883712768556;1488.3397216796875;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:01.048258;2025-08-26 15:07:32.370784;1353.5438232421875;13.838884353637695;1481.819091796875;202.0;301.0;299.0;303.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:01.088578;2025-08-26 15:07:32.411104;1361.1978759765625;13.30862045288086;1475.2655029296875;202.0;301.0;299.0;304.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:01.128896;2025-08-26 15:07:32.451422;1368.815673828125;12.786805152893066;1468.6556396484375;202.0;301.0;299.0;304.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:01.169217;2025-08-26 15:07:32.491743;1376.38427734375;12.260557174682615;1461.9869384765625;202.0;301.0;299.0;304.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:01.209534;2025-08-26 15:07:32.532060;1383.9168701171875;11.726134300231934;1455.271484375;202.0;301.0;299.0;304.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:01.249853;2025-08-26 15:07:32.572379;1391.4024658203125;11.184721946716309;1448.495849609375;202.0;301.0;299.0;304.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
0 days 00:00:01.290172;2025-08-26 15:07:32.612698;1398.8299560546875;10.616124153137209;1441.6944580078125;202.0;301.0;299.0;304.0;0.0;25.0;34.0;18.0;22.0;0.2500000298023224;100.0;1.0;61.0
